outflow,time,size,area,rho
2,17,26,9,0.90625
1,8,8,8,0.90625
2,4,4,5,0.875
2,76,153,31,0.84375
4,29,57,9,0.75
0,0,0,1,0.78125
0,2,2,3,0.8125
2,62,111,22,0.78125
1,18,20,5,0.78125
0,0,0,1,0.8125
0,4,4,4,0.84375
1,12,13,6,0.84375
0,21,21,8,0.875
0,0,0,1,0.90625
3,139,458,28,0.84375
2,61,176,28,0.8125
2,42,64,15,0.78125
0,2,2,4,0.8125
0,0,0,1,0.84375
0,0,0,1,0.875
2,112,308,32,0.84375
2,34,75,18,0.8125
1,54,114,25,0.8125
0,7,12,7,0.84375
1,16,22,9,0.84375
0,2,2,3,0.875
0,24,41,11,0.90625
2,15,23,13,0.875
0,2,2,3,0.90625
0,5,6,5,0.9375
5,92,276,32,0.8125
2,20,36,15,0.78125
1,80,196,31,0.78125
0,1,1,3,0.8125
1,4,4,3,0.8125
1,25,27,7,0.8125
1,10,10,11,0.8125
0,0,0,1,0.84375
0,92,200,19,0.875
2,129,295,23,0.84375
2,66,160,32,0.8125
0,39,62,24,0.84375
1,2,2,3,0.84375
2,24,24,10,0.8125
0,3,4,6,0.84375
0,63,130,26,0.875
0,7,10,8,0.90625
0,38,42,12,0.9375
1,122,236,22,0.9375
0,0,0,1,0.96875
5,158,449,32,0.84375
0,23,28,7,0.875
2,121,224,25,0.84375
1,2,2,2,0.84375
0,9,12,9,0.875
0,42,83,15,0.90625
0,0,0,1,0.9375
3,201,626,32,0.875
0,7,8,6,0.90625
1,63,100,15,0.90625
2,94,142,24,0.875
0,27,37,13,0.90625
0,0,0,1,0.9375
3,91,268,32,0.875
0,0,0,1,0.90625
0,7,8,5,0.9375
3,50,70,8,0.875
0,68,140,24,0.90625
1,2,2,2,0.90625
4,113,375,32,0.8125
1,2,2,3,0.8125
0,20,30,13,0.84375
3,103,220,26,0.78125
0,21,32,8,0.8125
0,44,82,17,0.84375
2,109,240,30,0.8125
0,16,16,8,0.84375
0,0,0,1,0.875
0,113,229,22,0.90625
2,160,335,32,0.875
0,5,5,7,0.90625
0,0,0,1,0.9375
1,7,10,6,0.9375
3,62,75,9,0.875
0,0,0,1,0.90625
4,177,530,27,0.8125
0,102,175,32,0.84375
0,17,17,6,0.875
2,28,39,14,0.84375
0,58,84,17,0.875
2,109,318,32,0.84375
0,18,32,10,0.875
0,0,0,1,0.90625
2,47,103,20,0.875
0,0,0,1,0.90625
2,35,62,11,0.875
1,121,290,28,0.875
0,39,65,16,0.90625
4,187,463,28,0.8125
0,70,94,20,0.84375
0,0,0,1,0.875
0,8,8,6,0.90625
3,99,223,32,0.84375
3,9,9,5,0.78125
0,55,90,20,0.8125
0,0,0,1,0.84375
0,56,98,15,0.875
3,11,19,7,0.8125
0,32,48,11,0.84375
0,99,250,21,0.875
2,1,1,1,0.84375
3,21,35,14,0.78125
0,111,213,25,0.8125
0,38,45,17,0.84375
0,11,13,9,0.875
2,15,21,12,0.84375
0,20,40,11,0.875
1,102,330,26,0.875
0,146,326,32,0.90625
2,99,144,13,0.875
0,8,8,7,0.90625
1,52,100,16,0.90625
3,108,191,23,0.84375
1,4,4,3,0.84375
1,90,172,28,0.84375
2,67,101,17,0.8125
0,32,54,10,0.84375
2,162,398,28,0.8125
0,0,0,1,0.84375
0,51,98,24,0.875
0,0,0,1,0.90625
0,45,53,16,0.9375
4,254,702,32,0.84375
2,11,20,9,0.8125
0,48,72,20,0.84375
0,91,166,24,0.875
2,29,47,15,0.84375
5,112,255,32,0.71875
0,0,0,1,0.75
0,14,16,7,0.78125
1,58,88,12,0.78125
0,0,0,1,0.8125
1,6,8,4,0.8125
0,14,19,9,0.84375
0,0,0,1,0.875
2,4,7,5,0.84375
2,12,20,17,0.8125
0,0,0,1,0.84375
0,84,138,15,0.875
0,0,0,1,0.90625
5,156,364,32,0.78125
0,0,0,1,0.8125
0,50,82,19,0.84375
0,3,3,4,0.875
2,85,197,29,0.84375
1,27,39,15,0.84375
0,5,8,5,0.875
2,19,21,6,0.84375
2,14,22,7,0.8125
0,0,0,1,0.84375
0,0,0,1,0.875
2,108,205,18,0.84375
0,20,20,7,0.875
0,4,4,5,0.90625
1,33,71,24,0.90625
1,20,27,6,0.90625
0,32,81,20,0.9375
1,18,30,13,0.9375
6,155,551,32,0.78125
0,0,0,1,0.8125
0,9,9,4,0.84375
0,6,6,6,0.875
4,198,481,32,0.78125
0,36,57,18,0.8125
1,1,1,2,0.8125
0,34,55,15,0.84375
3,91,160,30,0.78125
2,7,7,3,0.75
0,0,0,1,0.78125
0,9,22,9,0.8125
0,0,0,1,0.84375
0,0,0,1,0.875
3,90,145,32,0.8125
1,29,68,22,0.8125
0,106,194,21,0.84375
0,11,17,9,0.875
0,0,0,1,0.90625
2,85,241,30,0.875
4,193,498,31,0.78125
0,5,6,5,0.8125
0,2,2,3,0.84375
0,9,16,8,0.875
0,0,0,1,0.90625
1,12,12,5,0.90625
2,46,116,21,0.875
1,49,92,15,0.875
3,60,115,17,0.8125
0,0,0,1,0.84375
2,2,2,3,0.8125
0,56,128,24,0.84375
