outflow,time,size,area,rho
3,7.0,7,4,0.5
0,0,0,1,0.75
1,2.0,2,3,0.75
1,3.0,3,4,0.75
1,3.5,4,3,0.75
1,2.0,2,2,0.75
2,1.0,1,1,0.5
0,2.0,2,4,0.75
0,0,0,1,1.0
2,7.0,8,4,0.75
2,2.0,2,2,0.5
1,2.0,2,2,0.5
2,1.0,1,1,0.25
0,0,0,1,0.5
0,0,0,1,0.75
2,4.5,5,4,0.5
0,0,0,1,0.75
0,0,0,1,1.0
2,10.0,14,4,0.75
1,3.0,3,4,0.75
1,2.0,2,3,0.75
1,2.0,2,3,0.75
2,6.0,6,4,0.5
0,0,0,1,0.75
0,0,0,1,1.0
4,9.5,10,4,0.25
0,0,0,1,0.5
0,2.0,2,3,0.75
1,5.0,5,4,0.75
2,6.0,6,4,0.5
0,2.0,2,3,0.75
1,7.0,7,4,0.75
1,2.0,2,2,0.75
1,4.0,4,3,0.75
1,2.0,2,3,0.75
0,0,0,1,1.0
1,2.0,2,2,1.0
2,4.0,4,2,0.75
1,2.0,2,3,0.75
1,2.0,2,3,0.75
2,1.0,1,1,0.5
0,2.0,2,4,0.75
1,6.0,6,3,0.75
0,0,0,1,1.0
3,6.0,6,4,0.5
1,2.0,2,3,0.5
1,8.0,8,4,0.5
0,2.0,2,4,0.75
2,1.0,1,1,0.5
0,0,0,1,0.75
2,4.5,5,4,0.5
0,0,0,1,0.75
2,13.0,13,3,0.5
0,2.0,2,3,0.75
1,2.0,2,2,0.75
1,3.5,4,3,0.75
0,0,0,1,1.0
2,5.5,6,4,0.75
0,2.0,2,3,1.0
2,10.0,12,4,0.75
1,3.0,3,4,0.75
0,0,0,1,1.0
1,4.0,6,4,1.0
2,7.0,8,4,0.75
1,3.0,3,4,0.75
0,0,0,1,1.0
2,5.0,5,3,0.75
1,6.0,6,3,0.75
2,3.0,3,2,0.5
0,0,0,1,0.75
2,3.0,3,4,0.5
0,0,0,1,0.75
0,0,0,1,1.0
2,5.0,5,3,0.75
2,3.0,3,2,0.5
0,1.0,1,3,0.75
2,3.0,3,3,0.5
0,2.0,2,3,0.75
1,1.0,1,2,0.75
0,0,0,1,1.0
2,1.0,1,1,0.75
1,12.0,12,4,0.75
0,2.0,2,3,1.0
3,6.0,6,4,0.5
2,1.0,1,1,0.25
0,0,0,1,0.5
0,0,0,1,0.75
0,0,0,1,1.0
3,3.0,3,2,0.5
0,0,0,1,0.75
1,3.0,3,3,0.75
2,3.5,4,4,0.5
1,2.0,2,2,0.5
0,0,0,1,0.75
2,6.0,6,4,0.5
1,1.0,1,2,0.5
0,0,0,1,0.75
2,1.0,1,1,0.5
0,0,0,1,0.75
1,2.0,2,2,0.75
1,5.5,6,4,0.75
0,0,0,1,1.0
2,1.0,1,1,0.75
0,0,0,1,1.0
3,4.0,5,4,0.5
0,0,0,1,0.75
2,1.0,1,1,0.5
2,2.0,2,2,0.25
0,0,0,1,0.5
1,4.0,4,3,0.5
0,1.0,1,3,0.75
0,0,0,1,1.0
3,4.0,5,4,0.5
0,3.0,3,4,0.75
1,3.0,3,4,0.75
1,2.0,2,3,0.75
0,0,0,1,1.0
2,4.0,4,4,0.75
0,0,0,1,1.0
2,8.0,8,4,0.75
1,1.0,1,2,0.75
1,3.0,3,4,0.75
1,2.0,2,3,0.75
0,0,0,1,1.0
2,7.0,8,4,0.75
1,4.0,4,3,0.75
2,3.0,3,2,0.5
0,0,0,1,0.75
0,0,0,1,1.0
2,4.0,4,2,0.75
0,0,0,1,1.0
3,5.0,6,4,0.5
0,0,0,1,0.75
1,2.0,2,2,0.75
2,3.5,5,4,0.5
0,0,0,1,0.75
3,7.5,9,4,0.25
0,0,0,1,0.5
0,0,0,1,0.75
2,2.0,2,2,0.5
1,1.0,1,2,0.5
0,3.0,3,3,0.75
0,0,0,1,1.0
2,3.0,4,3,0.75
1,1.0,1,2,0.75
0,0,0,1,1.0
2,2.0,2,2,0.75
2,4.0,4,4,0.5
1,2.0,2,2,0.5
0,0,0,1,0.75
2,1.0,1,1,0.5
0,2.0,2,3,0.75
2,4.0,4,4,0.5
0,1.0,1,3,0.75
0,0,0,1,1.0
2,13.0,13,4,0.75
1,1.0,1,2,0.75
2,9.0,9,4,0.5
0,0,0,1,0.75
2,6.0,6,3,0.5
1,1.0,1,2,0.5
0,0,0,1,0.75
2,1.0,1,1,0.5
0,1.0,1,3,0.75
2,4.0,4,4,0.5
0,4.0,4,3,0.75
1,2.0,2,3,0.75
2,1.0,1,1,0.5
0,0,0,1,0.75
1,2.0,2,2,0.75
2,1.0,1,1,0.5
0,0,0,1,0.75
1,3.0,3,4,0.75
0,0,0,1,1.0
2,3.5,4,3,0.75
1,1.0,1,2,0.75
1,6.0,6,4,0.75
1,3.5,4,4,0.75
2,1.0,1,1,0.5
2,1.0,1,1,0.25
0,0,0,1,0.5
0,2.0,2,4,0.75
2,1.0,1,1,0.5
0,1.0,1,3,0.75
1,2.0,2,3,0.75
2,6.0,6,4,0.5
0,0,0,1,0.75
2,4.0,4,4,0.5
0,0,0,1,0.75
2,3.0,3,4,0.5
0,0,0,1,0.75
3,4.0,4,4,0.25
0,0,0,1,0.5
0,0,0,1,0.75
1,2.0,2,2,0.75
0,0,0,1,1.0
1,2.0,2,2,1.0
2,6.0,6,4,0.75
2,1.0,1,1,0.5
1,2.0,2,3,0.5
1,5.0,5,4,0.5
0,0,0,1,0.75
0,3.5,4,4,1.0
3,15.0,15,4,0.5
1,3.0,3,4,0.5
2,1.0,1,1,0.25
0,0,0,1,0.5
0,0,0,1,0.75
2,2.0,2,2,0.5
2,2.0,2,3,0.25
0,0,0,1,0.5
0,1.0,1,3,0.75
1,1.0,1,2,0.75
2,5.0,5,2,0.5
0,0,0,1,0.75
0,0,0,1,1.0
2,1.0,1,1,0.75
1,9.0,9,4,0.75
1,3.0,3,4,0.75
0,0,0,1,1.0
1,2.0,2,2,1.0
3,11.0,12,4,0.5
1,4.0,4,3,0.5
0,0,0,1,0.75
2,3.0,3,4,0.5
1,4.0,4,3,0.5
1,2.0,2,2,0.5
0,0,0,1,0.75
2,1.0,1,1,0.5
1,4.0,4,3,0.5
0,0,0,1,0.75
1,3.0,3,4,0.75
0,4.0,4,3,1.0
1,3.0,4,3,1.0
4,11.0,12,4,0.25
0,0,0,1,0.5
1,2.0,2,2,0.5
3,13.0,13,3,0.0
0,0,0,1,0.25
0,0,0,1,0.5
0,0,0,1,0.75
1,1.0,1,2,0.75
2,3.0,3,4,0.5
0,0,0,1,0.75
0,7.0,8,4,1.0
2,5.0,5,3,0.75
1,3.0,3,4,0.75
2,1.0,1,1,0.5
0,0,0,1,0.75
2,5.0,5,2,0.5
1,1.0,1,2,0.5
0,2.0,2,3,0.75
0,0,0,1,1.0
1,2.0,2,2,1.0
3,7.5,8,4,0.5
1,6.0,6,3,0.5
0,0,0,1,0.75
2,6.5,7,4,0.5
2,1.0,1,1,0.25
0,0,0,1,0.5
1,2.0,2,2,0.5
0,0,0,1,0.75
2,1.0,1,1,0.5
0,6.0,6,4,0.75
2,1.0,1,1,0.5
0,0,0,1,0.75
0,0,0,1,1.0
3,3.5,4,4,0.5
0,0,0,1,0.75
2,5.0,5,3,0.5
0,0,0,1,0.75
2,4.0,4,4,0.5
0,2.0,2,3,0.75
2,1.0,1,1,0.5
0,0,0,1,0.75
2,5.0,5,2,0.5
0,0,0,1,0.75
2,1.0,1,1,0.5
0,0,0,1,0.75
1,2.0,2,2,0.75
1,6.0,6,4,0.75
0,0,0,1,1.0
4,9.0,10,4,0.25
0,0,0,1,0.5
0,0,0,1,0.75
1,1.0,1,2,0.75
